course_title,course_organization,course_certificate_type,course_time,course_rating,course_reviews_num,course_difficulty,course_url,course_students_enrolled,course_skills,course_summary,course_description
(ISC)² Systems Security Certified Practitioner (SSCP),ISC2,Specialization,3 - 6 Months,4.7,492,Beginner,https://www.coursera.org/specializations/sscp-training,"6,958","['Risk Management', 'Access Control', 'Asset', 'Incident Detection and Response', 'Cloud Computing Security', 'Wireless Security', 'Security Software']",[],"Pursue better IT security job opportunities and prove knowledge with confidence. The SSCP Professional Training Certificate shows employers you have the IT security foundation to defend against cyber attacks – and puts you on a clear path to earning SSCP certification.
Learn on your own schedule with 120-day access to content aligned with the latest (ISC)2 SSCP exam domains. We’re offering the complete online self-paced program for only $1,000 – a $200 savings when you get all domains bundled together.
3 Steps to Career Advancement 
1.  Register for the course 
2.  Gain access for 120 days 
3. Register and sit for the SSCP certification exam
Upon completing the SSCP Professional Certificate, you will:
1.  Complete six courses of preparing you to sit for the Systems Security Certified Practitioner (SSCP) certification exam Opens in a new tabas outlined below.
Course 1 - Access Controls
Course 2 - Security Operations and Administration
Course 3 - Risk Identification, Monitoring, and Analysis/Incident Response and Recovery
Course 4 - Cryptography
Course 5 - Network and Communication Security
Course 6 - Systems and Application Security
2. Receive a certificate of program completion.
3. Understand how to implement, monitor and administer an organization’s IT infrastructure in accordance with security policies and procedures that ensure data confidentiality, integrity and availability.
Applied Learning Project
Each course includes a case study that will require students to put into practice the knowledge they have gained throughout each course. Successful completion of course projects will require the basic understanding of the topics covered and the ability to relate those topics to the real world. The objective of each project is to determine whether students have understood course concepts and are able to use them in a real world setting. 
"
.NET FullStack Developer,Board Infinity,Specialization,1 - 3 Months,4.3,51,Intermediate,https://www.coursera.org/specializations/dot-net-fullstack,"2,531","['Web API', 'Web Development', 'Cascading Style Sheets (CSS)', 'HTML', 'React (Web Framework)', 'RESTful APIs', 'C# programming', 'API Integration', 'Model–View–Controller (MVC)', 'asp.net']","['Master .NET full stack web dev: from .NET core basics to advanced web application creation using .NET technologies.  ', ""Dive into React frontend development: from foundational HTML & CSS to dynamic UI design using JavaScript and React's core concepts. "", 'Explore backend with ASP.NET: Understand ASP.NET Core architecture, MVC patterns, and build RESTful web APIs with integrated front-end applications. ', 'Acquire robust full-stack skills: Ensuring proficiency in creating scalable, high-quality web applications tailored to modern business needs. ']","Develop the proficiency required to design and develop comprehensive, scalable, and high-performing applications with the .NET framework via this in-depth specialization. The curriculum is segmented into three intensive courses: 
.NET Full Stack Foundation: 
Understand the basics of .NET and its significant components.
Harnessing the C# programming language, mastering everything from basic syntax to complex structures.
Constructing both web and desktop applications with an unparalleled understanding of .NET's capacities.
Frontend Development using React: 
Designing web pages employing the core principles of HTML and CSS.
Utilizing JavaScript for dynamic and interactive functionalities, covering everything from basic variables to complex functions.
Constructing dynamic and interactive UIs using React's core concepts such as components, state, props, and JSX.
Backend Development using ASP.NET:
Master the ASP.NET Core framework, designed for modern web applications.
Explore ASP.NET MVC and craft web applications following MVC patterns.
Delve into ASP.NET Web API to design and implement RESTful web services.
By the end, you will be proficient in leveraging .NET technologies, designing web applications using ASP.NET with React integrated on the front end, and building RESTful web APIs using ASP.NET Core. Equip yourself to construct scalable, high-performance web applications that align with modern business demands.
Applied Learning Project
Our program is highly focused on practical, hands-on learning. We understand that developers learn best by doing, so our courses and modules are designed to help learners apply what they learn in real-world scenarios. Our instructors are experienced developers who have worked on numerous Frontend projects and are well-equipped to guide learners through the practical aspects of Frontend Development & Backend with .Net Technologies.
"
21st Century Energy Transition: how do we make it work?,University of Alberta,Course,1 - 3 Months,4.8,62,Beginner,https://www.coursera.org/learn/21st-century-energy-transition,"4,377",[],"['Understand the complexity of systems supplying energy to people around the  world ', 'Evaluate the merits and the costs associated with each major available energy\xa0 source\xa0   ', 'Explore competing viewpoints of how quickly, practically and effectively global  societies can transition to alternative energy sources ']","Affordable, abundant and reliable energy is fundamental to human well-being and prosperity. For the past 150 years, more and more people have gained access to energy, primarily in the form of fossil fuels – coal, petroleum and natural gas. But now, even while half of humanity cannot access adequate energy supplies, we are beginning a profound transition to more diverse energy sources. Climate change, environmental sustainability, and energy poverty are all important – and sometimes conflicting – drivers as we strive to supply more energy to more people with fewer negative impacts on Earth’s environments. 
In this course from the University of Alberta and Canadian Society for Evolving Energy, you will join us to learn about the many energy sources available, and where technology is providing exciting new solutions to energy and environmental challenges. Find out what roles energy storage must play to support the transition, and discuss how we can optimize transition processes. Examine competing viewpoints (“realities”) to enable energy transition, focusing on the practical challenges in bringing about change on a global basis. Finally, you will bring all these issues together to examine how the energy transition process is progressing and what we must do to create pathways to achieve our goals.
"
A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,Course,1 - 3 Months,4.7,517,Intermediate,https://www.coursera.org/learn/crash-course-in-causality,"39,004","['Instrumental Variable', 'Propensity Score Matching', 'Causal Inference', 'Causality']",[],"We have all heard the phrase “correlation does not equal causation.”  What, then, does equal causation?  This course aims to answer that question and more!  
Over a period of 5 weeks, you will learn how causal effects are defined, what assumptions about your data and models are necessary, and how to implement and interpret some popular statistical methods.  Learners will have the opportunity to apply these methods to example data in R (free statistical software environment).

At the end of the course, learners should be able to:
1.  Define causal effects using potential outcomes
2.  Describe the difference between association and causation
3.  Express assumptions with causal graphs
4.  Implement several types of causal inference methods (e.g. matching, instrumental variables, inverse probability of treatment weighting)
5.  Identify which causal assumptions are necessary for each type of statistical method

So join us.... and discover for yourself why modern statistical methods for estimating causal effects are indispensable in so many fields of study!
"
A life with ADHD,University of Geneva,Course,1 - 3 Months,,,Beginner,https://www.coursera.org/learn/life-with-adhd,,"['differential diagnosis and comorbidities', 'symptoms assessment', 'accomodation', 'Neuroscience', 'intervention']","[' Understand what ADHD is and the challenges related to this disorder  ', ' Familiarize yourself with the diagnostic and therapeutic issues of this disorder  ', ' Know the biological, psychological and environmental interventions  ']","What is ADHD and what are the challenges that come with it? 
Whether you are a person affected by ADHD, a family member or a professional, this MOOC will provide you with an understanding of what ADHD is. It will allow you to respond to the specific challenges of ADHD by developing a complex strategy that integrates psychological dimensions, neurobiological treatments, as well as environmental interventions. Since in two thirds of cases this disorder is relatively persistent, even though it may fluctuate over the course of an individual's life, this course will provide keys to understanding how to live with ADHD over time.
 
Through presentations by experts in the field, activities and various resources such as readings and videos, you will learn about

- The assessment of ADHD symptoms
- The specifics of ADHD diagnosis, as well as its differential diagnoses and comorbidities
- Biological (including medication), psychological and environmental interventions for ADHD

This MOOC has been created for teenagers and adults affected by ADHD, as well as their families. It has also been designed for professionals interested in ADHD. This MOOC is also proposed to medical and psychology students who wish to learn more about ADHD.
 
We hope you will have a lot of fun following this MOOC!
"
AI & Law,Lund University,Course,1 - 4 Weeks,4.8,370,Beginner,https://www.coursera.org/learn/ai-law,"26,023",[],"['Understand the legal significance of the artificially intelligent software and hardware.', 'Understand the impact of the emergence of artificial intelligence on the application and administration of law in the public sector.', 'Understand the legal relevance of the use of artificially intelligent software in the private sector.', 'Understand the importance of artificial intelligence for selected legal fields, including labour law, competition law and health law.']","About this Course
This four-week course titled AI and Law explores the way in which the increasing use of artificially intelligent technologies (AI) affects the practice and administration of law defined in a broad sense. Subject matters discussed include the connection between AI and Law in the context of legal responsibility, law-making, law-enforcing, criminal law, the medical sector and intellectual property law.
The course aims to equip members of the general public with an elementary ability to understand the meaningful potential of AI for their own lives. The course also aims to enable members of the general public to understand the consequences of using AI and to allow them to interact with AIs in a responsible, helpful, conscientious way. Please note that the law and content presented in this course is current as of the launch date of this course. 

At the end of this course, you will have a basic understanding of how to:
•	Understand the legal significance of the artificially intelligent software and hardware.
•	Understand the impact of the emergence of artificial intelligence on the application and administration of law in the public sector in connection with the enforcement of criminal law, the modelling of law and in the context of administrative law.
•	Understand the legal relevance of the use of artificially intelligent software in the private sector in connection with innovation and associated intellectual property rights, in the financial services sector and when predicting outcomes of legal proceedings.
•	Understand the importance of artificial intelligence for selected legal fields, including labour law, competition law and health law.

Syllabus and Format

The course consists of four modules where one module represents about one week of part-time studies. A module includes a number of lectures and readings, and finishes with an assessment – a quiz and/or a peer graded assignment. The assessments are intended to encourage learning and ensure that you understand the material of the course. Participating in forum discussions is voluntary. 

Modules
Module 1.	AI and Law 
Module 2.	Legal AI in the Public Sector 
Module 3.	Legal AI in the Private Sector
Module 4.	Selected Challenges 

Lund University

Lund University was founded in 1666 and has for a number of years been ranked among the world’s top 100 universities. The University has 47 700 students and 7 500 staff based in Lund, Sweden. Lund University unites tradition with a modern, dynamic, and highly international profile. With eight different faculties and numerous research centers and specialized institutes, Lund is the strongest research university in Sweden and one of Scandinavia's largest institutions for education and research. The university annually attracts a large number of international students and offers a wide range of courses and programmes taught in English. 

The Faulty of Law is one of Lund University’s four original faculties, dating back to 1666. It is a modern faculty with an international profile, welcoming both international and Swedish students. Education, research and interaction with the surrounding community are the main focus of the Faculty’s work. The connection between the three is particularly apparent in the programmes and courses offered by the university, including the university’s MOOC course in European Business Law. The students get the chance to engross themselves in traditional legal studies, while interacting with both researchers and professionally active lawyers with qualifications and experience from various areas of law.

The faculty offers three international Masters: two 2-year Master’s programmes in International Human Rights Law and European Business Law, and a 1-year Master’s in European and International Tax Law. Students from around 40 countries take part in the programmes which offer a unique subject specialization within each field, with highly qualified researchers and professional legal practitioners engaged in the teaching.
"
AI Applications in Marketing and Finance,University of Pennsylvania,Course,1 - 4 Weeks,4.7,140,Mixed,https://www.coursera.org/learn/wharton-ai-applications-marketing-finance,"7,584",[],[],"In this course, you will learn about AI-powered applications that can enhance the customer journey and extend the customer lifecycle. You will learn how this AI-powered data can enable you to analyze consumer habits and maximize their potential to target your marketing to the right people. You will also learn about fraud, credit risks, and how AI applications can also help you combat the ever-challenging landscape of protecting consumer data. You will also learn methods to utilize supervised and unsupervised machine learning to enhance your fraud detection methods. You will also hear from leading industry experts in the world of data analytics, marketing, and fraud prevention. By the end of this course, you will have a substantial understanding of the role AI and Machine Learning play when it comes to consumer habits, and how we are able to interact and analyze information to increase deep learning potential for your business.
"
AI Applications in People Management,University of Pennsylvania,Course,1 - 4 Weeks,4.7,71,Mixed,https://www.coursera.org/learn/wharton-ai-applications-people-management,"5,325",[],[],"In this course, you will learn about Artificial Intelligence and Machine Learning as it applies to HR Management. You will explore concepts related to the role of data in machine learning, AI application, limitations of using data in HR decisions, and how bias can be mitigated using blockchain technology. Machine learning powers are becoming faster and more streamlined,  and you will gain firsthand knowledge of how to use current and emerging technology to manage the entire employee lifecycle. Through study and analysis, you will learn how to sift through tremendous volumes of data to identify patterns and make predictions that will be in the best interest of your business. By the end of this course, you'll be able to identify how you can incorporate AI to streamline all HR functions and how to work with data to take advantage of the power of machine learning.
"
AI For Business,University of Pennsylvania,Specialization,3 - 6 Months,4.7,381,Beginner,https://www.coursera.org/specializations/ai-for-business-wharton,"13,671","['Artificial Intelligence (AI)', 'Machine Learning', 'Management', 'Analytics', 'Fraud Prevention']",[],"This specialization will provide learners with the fundamentals of using Big Data, Artificial Intelligence, and Machine Learning and the various areas in which you can deploy them to support your business. You'll cover ethics and risks of AI, designing governance frameworks to fairly apply AI, and also cover people management in the fair design of HR functions within Machine Learning. You'll also learn effective marketing strategies using data analytics, and how personalization can enhance and prolong the customer journey and lifecycle. Finally, you will hear from industry leaders who will provide you with insights into how AI and Big Data are revolutionizing the way we do business.
By the end of this specialization, you will be able to implement ethical AI strategies for people management and have a better understanding of the relationship between data analytics, artificial intelligence, and machine learning. You will leave this specialization with insight into how these tools can shape and influence how you manage your business. 
For additional reading, Professor Hosanagar's book ""A Human’s Guide to Machine Intelligence"" can be used as an additional resource,"". You can find Professor Hosanagar's book on his personal websiteOpens in a new tab or at Penguin RandomhouseOpens in a new tab.

Applied Learning Project
Each course module in this Specialization culminates in an assessment, with two courses including peer-review exercises. These assessments are designed to check learners' knowledge and to provide an opportunity for learners to apply course concepts such as data analytics, machine learning tools, and people management best practices with AI algorithms.
The assessments will be cumulative and cover the application of artificial intelligence, ethical governance rules, Big Data management, the customer journey, fraud prevention, and personalization technology in order to develop and implement a successful AI strategy for your business.
"
AI For Everyone,DeepLearning.AI,Course,1 - 4 Weeks,4.8,39.3k,Beginner,https://www.coursera.org/learn/ai-for-everyone,"1,092,100","['Workflow of Machine Learning projects', 'AI terminology', 'AI strategy', 'Workflow of Data Science projects']",[],"AI is not only for engineers. If you want your organization to become better at using AI, this is the course to tell everyone--especially your non-technical colleagues--to take. 
In this course, you will learn:

- The meaning behind common AI terminology, including neural networks, machine learning, deep learning, and data science
- What AI realistically can--and cannot--do
- How to spot opportunities to apply AI to problems in your own organization
- What it feels like to build machine learning and data science projects
- How to work with an AI team and build an AI strategy in your company
- How to navigate ethical and societal discussions surrounding AI

Though this course is largely non-technical, engineers can also take this course to learn the business aspects of AI.
"
